user_id,total_spend,purchase_count,session_count,total_duration,clv
user_000731,2993.85,1,107,177317,1.5778353763375E7
user_000406,3099.92,1,94,190278,1.5401549530399999E7
user_000901,2525.31,1,108,196111,1.4857232082299998E7
user_000068,2497.27,1,105,176439,1.2851294794624997E7
user_000711,2193.48,1,102,206190,1.2814419833999999E7
user_000537,3138.51,1,85,171102,1.2679292703250002E7
user_000538,2782.14,1,94,173345,1.2592607077833332E7
user_000371,4144.6,2,111,195923,1.2518679681083335E7
user_000180,2188.59,1,104,187468,1.1852839270133335E7
user_000882,4143.75,1,75,134946,1.164963515625E7
